https://www.tutorialspoint.com/index.htmJAVA php Count 
https://www.tutorialspoint.com/index.htm 7 1 8
https://www.tutorialspoint.com/index.htm 2 1 3
https://www.tutorialspoint.com/about/about_careers.htm 2 2 4
https://www.tutorialspoint.com/questions/index.php 1 1 2
https://www.tutorialspoint.com/online_dev_tools.htm 3 2 5
https://www.tutorialspoint.com/codingground.htm 1 0 1
https://www.tutorialspoint.com/upsc_ias_exams.htm 0 0 0
https://www.tutorialspoint.com/whiteboard.htm 0 0 0
https://www.tutorix.com 0 0 0
https://www.tutorialspoint.com/videotutorials/login.php 38 38
